,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я,ё
к,0,0.00034258307639602604,0.0,0.0,0.0,0.0020554984583761563,0.0,0.004796163069544364,0.0006851661527920521,0.0,0.0034258307639602604,0.0051387461459403904,0.0013703323055841042,0.0017129153819801302,0.0006851661527920521,0.0,0.0,0.0017129153819801302,0.0,0.0006851661527920521,0.0,0.0006851661527920521,0.00034258307639602604,0.0041109969167523125,0.0006851661527920521,0.0,0,0.0,0.0006851661527920521,0.0,0.0,0.0,0
л,0,0.0010277492291880781,0.007194244604316547,0.0,0.0013703323055841042,0.0,0.0,0.0,0.00034258307639602604,0.00034258307639602604,0.00034258307639602604,0.0,0.0,0.0013703323055841042,0.002398081534772182,0.0,0.0051387461459403904,0.002398081534772182,0.0,0.0,0.0013703323055841042,0.0020554984583761563,0.008221993833504625,0.00034258307639602604,0.0,0.0,0,0.0017129153819801302,0.0010277492291880781,0.0010277492291880781,0.0,0.00034258307639602604,0
м,0,0.003083247687564234,0.0006851661527920521,0.0,0.0013703323055841042,0.0006851661527920521,0.0,0.0,0.0,0.0,0.0034258307639602604,0.0,0.0,0.005823912298732443,0.0006851661527920521,0.0,0.0,0.008907159986296678,0.0,0.0,0.0,0.0,0.0,0.00034258307639602604,0.0,0.008907159986296678,0,0.0,0.003083247687564234,0.00034258307639602604,0.0034258307639602604,0.0006851661527920521,0
н,0,0.0,0.0,0.0,0.0,0.0,0.00034258307639602604,0.0,0.0,0.0,0.004796163069544364,0.0,0.0,0.0027406646111682084,0.0,0.0,0.0,0.005481329222336417,0.0,0.002398081534772182,0.0010277492291880781,0.0041109969167523125,0.0006851661527920521,0.0010277492291880781,0.0,0.00034258307639602604,0,0.0,0.0034258307639602604,0.0,0.0,0.0,0
о,0,0.0017129153819801302,0.002398081534772182,0.0,0.0,0.00034258307639602604,0.0,0.004453579993148339,0.0,0.0010277492291880781,0.0017129153819801302,0.0,0.0,0.0,0.0,0.0,0.0,0.009934909215484755,0.0,0.0020554984583761563,0.0,0.0,0.0,0.0006851661527920521,0.00034258307639602604,0.0,0,0.0,0.0020554984583761563,0.0010277492291880781,0.0,0.0,0
п,0,0.00034258307639602604,0.004453579993148339,0.0,0.0017129153819801302,0.0,0.0,0.00034258307639602604,0.0,0.0,0.00034258307639602604,0.0,0.002398081534772182,0.004453579993148339,0.00034258307639602604,0.0,0.004796163069544364,0.00034258307639602604,0.0,0.00034258307639602604,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00034258307639602604,0.014045906132237067,0.0006851661527920521,0.0,0.0,0
р,0,0.0006851661527920521,0.0,0.0,0.0,0.00034258307639602604,0.0,0.00034258307639602604,0.009934909215484755,0.00034258307639602604,0.0010277492291880781,0.00034258307639602604,0.0,0.010620075368276806,0.0027406646111682084,0.0,0.00034258307639602604,0.0041109969167523125,0.0,0.00034258307639602604,0.0,0.0,0.0010277492291880781,0.00034258307639602604,0.0,0.008907159986296678,0,0.0020554984583761563,0.0013703323055841042,0.0,0.00034258307639602604,0.0,0
с,0,0.0,0.0037684138403562863,0.0,0.0,0.0,0.0,0.0,0.0020554984583761563,0.0,0.0027406646111682084,0.00034258307639602604,0.0,0.0,0.0,0.0,0.00034258307639602604,0.005823912298732443,0.004796163069544364,0.0,0.0,0.00034258307639602604,0.004796163069544364,0.0041109969167523125,0.0,0.00034258307639602604,0,0.0,0.00034258307639602604,0.0,0.0,0.00034258307639602604,0
т,0,0.0,0.0,0.0013703323055841042,0.0,0.0,0.0,0.0013703323055841042,0.0,0.0,0.0,0.0,0.0,0.017471736896197326,0.00034258307639602604,0.0,0.0,0.0078794107571086,0.0,0.0010277492291880781,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0006851661527920521,0.0027406646111682084,0.0,0.0,0.0,0
у,0,0.0051387461459403904,0.0,0.0,0.0006851661527920521,0.0,0.0,0.0017129153819801302,0.0,0.0013703323055841042,0.0,0.004453579993148339,0.0013703323055841042,0.01473107228502912,0.0,0.0013703323055841042,0.0006851661527920521,0.002398081534772182,0.0,0.0,0.00034258307639602604,0.0,0.0006851661527920521,0.0,0.0,0.0,0,0.0,0.0027406646111682084,0.0,0.0,0.0,0
ф,0,0.0,0.0,0.0,0.005481329222336417,0.0,0.0,0.0013703323055841042,0.0037684138403562863,0.00034258307639602604,0.00856457690990065,0.0,0.0010277492291880781,0.0,0.0,0.0010277492291880781,0.002398081534772182,0.003083247687564234,0.0,0.0006851661527920521,0.00034258307639602604,0.0,0.0,0.0,0.0,0.0006851661527920521,0,0.0,0.0020554984583761563,0.0,0.0,0.0,0
х,0,0.0013703323055841042,0.0,0.0,0.002398081534772182,0.0,0.0,0.0,0.002398081534772182,0.0,0.0,0.0,0.00034258307639602604,0.002398081534772182,0.00034258307639602604,0.0,0.0,0.002398081534772182,0.0,0.0034258307639602604,0.00034258307639602604,0.0,0.0,0.0,0.00034258307639602604,0.01644398766700925,0,0.0,0.0013703323055841042,0.0013703323055841042,0.0013703323055841042,0.0,0
