Symbol,Count,Frequency
"

",1316,0.006615891209813237
Ве,27,0.00013573636980619862
че,552,0.002775054671593394
ра,1058,0.005318854787220672
 н,2808,0.014116582459844658
а ,2432,0.012226327828469446
ху,53,0.00026644546665661214
то,2296,0.011542618706482669
ре,951,0.004780936580951663
 б,1252,0.006294145740642988
ли,1074,0.005399291154513234
з ,264,0.0013272000603272755
Ди,14,7.038182138099188e-05
ка,1508,0.007581127617323983
нь,238,0.001196490963476862
ки,635,0.0031923183269235603
По,135,0.0006786818490309932
ве,885,0.004449136565869844
ст,1538,0.0077319458059975366
"и,",420,0.0021114546414297566
 и,1771,0.008903300404695473
зд,112,0.0005630545710479351
ан,709,0.00356433652565166
ны,472,0.0023728728351305834
е ,2641,0.01327702787622854
па,386,0.001940527360933062
си,224,0.0011261091420958701
чн,87,0.00043737274715330667
ик,377,0.0018952819043309957
ом,802,0.004031872910539678
 Р,40,0.00020109091823140537
уд,460,0.0023125455596611617
ым,196,0.0009853454993338864
 П,234,0.0011763818716537214
ьк,324,0.0016288364376743835
"
Ч",21,0.00010557273207148782
ас,606,0.0030465274112057915
ть,1131,0.005685845712992987
 п,2709,0.01361888243722193
ер,1053,0.005293718422441747
ва,1068,0.005369127516778523
"я
",4,2.010909182314054e-05
Пр,80,0.00040218183646281074
ед,514,0.002584018299273559
ис,482,0.0024231455646884347
ло,1284,0.006455018475228113
ви,630,0.0031671819621446346
"е
",3,1.5081818867355403e-05
«Э,8,4.021818364628108e-05
 ч,1014,0.005097654777166127
 з,911,0.004579845662720257
не,1804,0.009069200412236382
да,736,0.003700072895457859
ль,530,0.002664454666566121
: ,193,0.000970263680466531
„В,1,5.027272955785135e-06
еч,186,0.000935072769776035
на,1841,0.009255209511600433
 х,392,0.001970690998667773
ут,280,0.0014076364276198376
ор,1110,0.005580272980921499
бл,140,0.0007038182138099188
из,284,0.0014277455194429782
 Д,155,0.0007792273081466958
и“,1,5.027272955785135e-06
? ,182,0.0009149636779528944
Чт,69,0.00034688183394917426
о ,3112,0.015644873438403338
эт,223,0.0011210818691400849
за,1096,0.005509891159540507
 „,1,5.027272955785135e-06
“?,1,5.027272955785135e-06
 И,158,0.0007943091270140513
 ш,211,0.0010607545936706633
вы,468,0.002352763743307443
рн,159,0.0007993363999698363
ул,322,0.0016187818917628132
 в,2527,0.012703918759269035
 с,2893,0.014543900661086394
т ,961,0.004831209310509514
ко,1625,0.008169318553150843
й-,32,0.0001608727345851243
ич,282,0.001417690973531408
ни,982,0.004936782042581002
к!,45,0.00022622728301033106
 С,199,0.0010004273182012417
ла,1023,0.005142900233768192
ог,907,0.004559736570897117
у!,48,0.00024130910187768645
 е,659,0.0033129728778624034
ще,211,0.0010607545936706633
 м,962,0.004836236583465299
ал,1447,0.007274463967021089
об,521,0.002619209209964055
од,933,0.0046904456677475306
 г,889,0.0044692456576929844
ус,248,0.0012467636930347133
ей,278,0.0013975818817082673
пе,433,0.0021768091898549634
рь,142,0.0007138727597214891
я ,1411,0.007093482140612824
и ,2694,0.013543473342885151
 т,1488,0.00748058215820828
ря,206,0.0010356182288917377
пь,17,8.546364024834728e-05
ум,280,0.0014076364276198376
аг,96,0.0004826182037553729
 Е,43,0.0002161727370987608
ро,1368,0.006877309403514064
ду,416,0.002091345549606616
", ",4356,0.021898800995400047
вс,479,0.002408063745821079
як,69,0.00034688183394917426
зв,118,0.0005932182087826459
ия,69,0.00034688183394917426
бр,241,0.0012115727823442174
"у,",303,0.0015232637056028957
ар,537,0.002699645577256617
цы,87,0.00043737274715330667
х!,13,6.535454842520675e-05
ну,507,0.0025488273885830633
 ж,377,0.0018952819043309957
ох,96,0.0004826182037553729
от,1059,0.005323882060176457
по,1537,0.0077269185330417515
та,1091,0.005484754794761582
щи,86,0.0004323454741975216
ся,805,0.004046954729407033
сл,441,0.002217027373501244
др,193,0.000970263680466531
уг,217,0.0010909182314053742
им,408,0.0020511273659603348
и!,73,0.0003669909257723148
во,1108,0.005570218435009929
ча,332,0.0016690546213206645
тн,131,0.0006585727572078526
ой,514,0.002584018299273559
ел,919,0.004620063846366538
ос,928,0.0046653093029686045
ь ,1393,0.007002991227408692
ол,1235,0.006208682100394641
"о,",424,0.002131563733252897
пр,949,0.004770882035040092
ид,317,0.0015936455269838876
ае,230,0.0011562727798305808
шь,139,0.0006987909408541337
чт,520,0.0026141819370082697
бы,596,0.00299625468164794
