Symbol,Count,Frequency
"м,",213,0.00127398440116752
",р",70,0.0004186803196325183
и–,13,7.775491650318197e-05
хв,106,0.0006340016268720992
«П,5,2.990573711660845e-05
!–,177,0.001058663093927939
би,95,0.0005682090052155606
я!,61,0.0003648499928226231
»Т,5,2.990573711660845e-05
!П,23,0.00013756639073639887
мн,315,0.0018840614383463323
мя,77,0.00046054835159577015
к!,34,0.00020335901239293747
Та,37,0.00022130245466290253
йл,16,9.569835877314705e-05
"ы,",140,0.0008373606392650366
"д,",42,0.000251208191779511
лр,22,0.0001315852433130772
рм,39,0.0002332647495095459
фт,10,5.98114742332169e-05
щи,79,0.00047251064644241353
лк,138,0.0008253983444183932
ке,113,0.000675869658835351
рк,86,0.0005143786784056653
-т,113,0.000675869658835351
ге,47,0.0002811139288961194
ци,25,0.00014952868558304225
сз,26,0.00015550983300636394
мы,131,0.0007835303124551414
тя,122,0.0007296999856452462
юк,60,0.0003588688453993014
ьд,64,0.0003827934350925882
ьш,69,0.0004126991722091966
–и,30,0.0001794344226996507
ён,1,5.98114742332169e-06
;д,16,9.569835877314705e-05
йв,60,0.0003588688453993014
хб,14,8.373606392650366e-05
рч,29,0.000173453275276329
«Н,23,0.00013756639073639887
и»,3,1.794344226996507e-05
…«,3,1.794344226996507e-05
уФ,5,2.990573711660845e-05
ыГ,3,1.794344226996507e-05
Кс,2,1.196229484664338e-05
ьп,122,0.0007296999856452462
шс,4,2.392458969328676e-05
ял,152,0.0009091344083448969
бп,6,3.588688453993014e-05
кк,30,0.0001794344226996507
яй,15,8.971721134982534e-05
нр,17,0.00010167950619646873
к;,12,7.177376907986028e-05
т(,1,5.98114742332169e-06
)т,1,5.98114742332169e-06
пы,47,0.0002811139288961194
лс,342,0.002045552418776018
.Я,23,0.00013756639073639887
ща,57,0.00034092540312933634
а.,216,0.001291927843437485
лю,203,0.001214172926934303
йт,75,0.0004485860567491268
кч,27,0.00016149098042968563
Пу,14,8.373606392650366e-05
",е",82,0.0004904540887123786
тБ,4,2.392458969328676e-05
щу,13,7.775491650318197e-05
жн,118,0.0007057753959519594
дц,45,0.00026915163404947603
.М,23,0.00013756639073639887
еж,210,0.0012560409588975548
са,362,0.002165175367242452
Ли,4,2.392458969328676e-05
уй,15,8.971721134982534e-05
–н,35,0.00020934015981625916
"
Д",24,0.00014354753815972056
е:,16,9.569835877314705e-05
кб,94,0.0005622278577922388
аД,7,4.186803196325183e-05
Ян,3,1.794344226996507e-05
.П,86,0.0005143786784056653
вд,97,0.0005801713000622039
Ит,10,5.98114742332169e-05
.А,28,0.00016747212785300731
о:,31,0.0001854155701229724
ыщ,11,6.57926216565386e-05
:«,25,0.00014952868558304225
Аг,1,5.98114742332169e-06
кР,1,5.98114742332169e-06
–«,6,3.588688453993014e-05
Ав,11,6.57926216565386e-05
м!,29,0.000173453275276329
»–,42,0.000251208191779511
кг,27,0.00016149098042968563
",ф",2,1.196229484664338e-05
кп,43,0.00025718933920283266
.Ф,2,1.196229484664338e-05
аГ,10,5.98114742332169e-05
жа,205,0.0012261352217809464
зД,2,1.196229484664338e-05
я-,11,6.57926216565386e-05
ею,92,0.0005502655629455955
рх,33,0.00019737786496961578
хг,13,7.775491650318197e-05
вр,111,0.0006639073639887076
За,47,0.0002811139288961194
мт,40,0.0002392458969328676
х.,48,0.0002870950763194411
–д,16,9.569835877314705e-05
зя,63,0.00037681228766926647
й:,5,2.990573711660845e-05
хр,48,0.0002870950763194411
Ак,6,3.588688453993014e-05
тм,32,0.0001913967175462941
оя,143,0.0008553040815350017
а!,113,0.000675869658835351
бв,8,4.784917938657352e-05
:с,13,7.775491650318197e-05
р!,2,1.196229484664338e-05
Ам,2,1.196229484664338e-05
:н,30,0.0001794344226996507
ыэ,5,2.990573711660845e-05
зю,2,1.196229484664338e-05
и?,28,0.00016747212785300731
Ил,1,5.98114742332169e-06
рю,38,0.00022728360208622422
?Б,3,1.794344226996507e-05
–о,19,0.00011364180104311211
бъ,11,6.57926216565386e-05
Сл,32,0.0001913967175462941
…О,4,2.392458969328676e-05
зб,33,0.00019737786496961578
я?,18,0.00010766065361979042
..,40,0.0002392458969328676
й;,10,5.98114742332169e-05
йП,5,2.990573711660845e-05
оа,5,2.990573711660845e-05
"
Б",14,8.373606392650366e-05
́р,4,2.392458969328676e-05
нт,48,0.0002870950763194411
о́,12,7.177376907986028e-05
"г,",11,6.57926216565386e-05
я́,3,1.794344226996507e-05
зо,112,0.0006698885114120293
нд,50,0.0002990573711660845
у́,15,8.971721134982534e-05
к.,39,0.0002332647495095459
Бу,11,6.57926216565386e-05
́к,5,2.990573711660845e-05
́ц,3,1.794344226996507e-05
хл,76,0.00045456720417244844
"
В",40,0.0002392458969328676
и́,15,8.971721134982534e-05
Га,30,0.0001794344226996507
́ш,3,1.794344226996507e-05
лё,1,5.98114742332169e-06
цк,42,0.000251208191779511
Го,48,0.0002870950763194411
а́,16,9.569835877314705e-05
"ц,",55,0.00032896310828269297
"
Г",14,8.373606392650366e-05
рл,25,0.00014952868558304225
"?
",61,0.0003648499928226231
вч,43,0.00025718933920283266
До,21,0.0001256040958897555
́н,12,7.177376907986028e-05
дм,16,9.569835877314705e-05
"
З",16,9.569835877314705e-05
́х,3,1.794344226996507e-05
Жи,10,5.98114742332169e-05
",ж",19,0.00011364180104311211
Жу,1,5.98114742332169e-06
Кл,2,1.196229484664338e-05
е́,7,4.186803196325183e-05
пк,51,0.0003050385185894062
Кн,3,1.794344226996507e-05
Ко,44,0.0002631704866261544
́б,3,1.794344226996507e-05
"
К",37,0.00022130245466290253
мб,35,0.00020934015981625916
йу,18,0.00010766065361979042
р.,23,0.00013756639073639887
Ку,29,0.000173453275276329
"ш,",6,3.588688453993014e-05
йх,20,0.0001196229484664338
б.,5,2.990573711660845e-05
"
Л",5,2.990573711660845e-05
ю́,1,5.98114742332169e-06
Ма,13,7.775491650318197e-05
́т,5,2.990573711660845e-05
"
М",8,4.784917938657352e-05
́с,2,1.196229484664338e-05
яж,54,0.00032298196085937125
"
Н",33,0.00019737786496961578
Ос,12,7.177376907986028e-05
"
О",17,0.00010167950619646873
́п,3,1.794344226996507e-05
пц,24,0.00014354753815972056
д.,15,8.971721134982534e-05
Пл,6,3.588688453993014e-05
хт,21,0.0001256040958897555
яя,35,0.00020934015981625916
нщ,10,5.98114742332169e-05
г.,6,3.588688453993014e-05
Пе,43,0.00025718933920283266
́й,3,1.794344226996507e-05
й.,51,0.0003050385185894062
шн,105,0.0006280204794487774
дя,84,0.000502416383559022
́ч,1,5.98114742332169e-06
тё,1,5.98114742332169e-06
́л,4,2.392458969328676e-05
дп,29,0.000173453275276329
в.,17,0.00010167950619646873
См,11,6.57926216565386e-05
вж,8,4.784917938657352e-05
Со,42,0.000251208191779511
фл,2,1.196229484664338e-05
Тр,2,1.196229484664338e-05
Хл,6,3.588688453993014e-05
"
Х",7,4.186803196325183e-05
"
Ц",2,1.196229484664338e-05
ущ,17,0.00010167950619646873
вК,7,4.186803196325183e-05
мз,24,0.00014354753815972056
"
Ш",4,2.392458969328676e-05
ьб,75,0.0004485860567491268
"
Ю",1,5.98114742332169e-06
Ят,7,4.186803196325183e-05
"
I",11,6.57926216565386e-05
"
M",1,5.98114742332169e-06
eн,1,5.98114742332169e-06
iн,5,2.990573711660845e-05
вх,21,0.0001256040958897555
iж,3,1.794344226996507e-05
Ой,3,1.794344226996507e-05
iз,3,1.794344226996507e-05
",
",18,0.00010766065361979042
цю,11,6.57926216565386e-05
дi,2,1.196229484664338e-05
Де,26,0.00015550983300636394
![,5,2.990573711660845e-05
2],3,1.794344226996507e-05
Из,14,8.373606392650366e-05
вМ,3,1.794344226996507e-05
зм,33,0.00019737786496961578
еа,5,2.990573711660845e-05
дз,13,7.775491650318197e-05
сж,9,5.383032680989521e-05
вв,59,0.0003528876979759797
ъя,11,6.57926216565386e-05
ях,52,0.0003110196660127279
ио,158,0.0009450212928848271
Вп,10,5.98114742332169e-05
Вс,55,0.00032896310828269297
о;,32,0.0001913967175462941
вл,84,0.000502416383559022
ао,103,0.0006160581846021341
Ле,28,0.00016747212785300731
яю,11,6.57926216565386e-05
мр,23,0.00013756639073639887
",я",42,0.000251208191779511
фи,7,4.186803196325183e-05
яе,62,0.0003708311402459448
Се,11,6.57926216565386e-05
яо,65,0.00038877458251590985
–р,7,4.186803196325183e-05
рд,69,0.0004126991722091966
…к,5,2.990573711660845e-05
о!,65,0.00038877458251590985
юр,21,0.0001256040958897555
вг,47,0.0002811139288961194
мь,10,5.98114742332169e-05
т…,11,6.57926216565386e-05
.С,78,0.0004665294990190918
юв,40,0.0002392458969328676
.Г,36,0.00021532130723958084
ыг,47,0.0002811139288961194
юч,26,0.00015550983300636394
;м,6,3.588688453993014e-05
тл,63,0.00037681228766926647
ьи,115,0.0006878319536819943
хп,37,0.00022130245466290253
юн,37,0.00022130245466290253
хщ,2,1.196229484664338e-05
хш,10,5.98114742332169e-05
бт,10,5.98114742332169e-05
хе,27,0.00016149098042968563
йб,34,0.00020335901239293747
.Р,18,0.00010766065361979042
шл,76,0.00045456720417244844
вя,62,0.0003708311402459448
Од,21,0.0001256040958897555
ыи,47,0.0002811139288961194
ь;,32,0.0001913967175462941
ьг,34,0.00020335901239293747
е;,32,0.0001913967175462941
